Sold Price,Price Unit,Date,Address,Bedroom,Category,Unit Size,Previous Price,Status,Sold By,Gross Rental,Last Rental Amount
1.4MAED,AED,"11 - March , 2025","Goldcrest Views 2, Jumeirah Lake Towers (Jlt)",2 Beds,Apartment,"1,060 sqft",1.1M,Ready,Individual (1Time),6.52%,"88,000 AED"
1.3MAED,AED,"11 - March , 2025","Platinum Tower, Jumeirah Lake Towers (Jlt)",Office,Commercial,607 sqft,698.3K,Ready,Individual (1Time),-,"1,144,343 AED"
1.5MAED,AED,"11 - March , 2025","Platinum Tower, Jumeirah Lake Towers (Jlt)",Office,Commercial,703 sqft,808.2K,Ready,Individual (1Time),-,"786,000 AED"
1.7MAED,AED,"10 - March , 2025","Diamondz By Danube, Al Thanyah Fifth",1 Bed,Apartment,753 sqft,-,Offplan,Developer (1Time),-,-
2.1MAED,AED,"10 - March , 2025","ME DO RE 2, Jumeirah Lake Towers (Jlt)",2 Beds,Apartment,"1,108 sqft",-,Offplan,Developer (1Time),-,-
1.3MAED,AED,"10 - March , 2025","Platinum Tower, Jumeirah Lake Towers (Jlt)",Office,Commercial,607 sqft,698.3K,Ready,Individual (1Time),-,"126,960 AED"
2.2MAED,AED,"10 - March , 2025","Platinum Tower, Jumeirah Lake Towers (Jlt)",Office,Commercial,980 sqft,1.1M,Ready,Individual (1Time),-,"120,000 AED"
1.6MAED,AED,"10 - March , 2025","Platinum Tower, Jumeirah Lake Towers (Jlt)",Office,Commercial,708 sqft,814.6K,Ready,Individual (1Time),-,-
1.3MAED,AED,"10 - March , 2025","Al Shera, Alshera Tower, Jumeirah Lake Towers (Jlt)",1 Bed,Apartment,993 sqft,1.4M,Ready,Individual (1Time),5%,"70,000 AED"
1.8MAED,AED,"10 - March , 2025","Mazaya Business Avenue Aa1, Jumeirah Lake Towers (Jlt)",Office,Commercial,"1,205 sqft",1.2M,Ready,Individual (1Time),-,"41,288 AED"
2.7MAED,AED,"10 - March , 2025","Laguna Tower, Jumeirah Lake Towers (Jlt)",2 Beds,Apartment,"1,993 sqft",1.4M,Ready,Individual (1Time),2.9%,"76,757 AED"
